id,Player,Team,Pos,GW11,GW12,GW13,GW14,GW15,GW16,Total,Price,Value
469,Hesketh,Southampton,M,0.13,0.11,0.11,0.09,0.12,0.1,0.67,4.7,0.14
470,Lee,West Ham,F,0.11,0.11,0.1,0.11,0.09,0.11,0.64,4.4,0.14
471,Hepburn-Murphy,Aston Villa,F,0.1,0.1,0.1,0.12,0.1,0.11,0.63,4.3,0.15
472,Fazio,Tottenham,D,0,0.07,0.15,0.12,0.13,0.16,0.63,4.7,0.13
473,Belkalem,Watford,D,0.1,0.08,0.09,0.1,0.13,0.11,0.62,4,0.16
474,Gooch,Sunderland,F,0.09,0.1,0.1,0.11,0.1,0.12,0.62,4.5,0.14
475,Pereira,Man Utd,M,0.11,0.11,0.1,0.1,0.11,0.1,0.62,4.7,0.13
476,Arlauskis,Watford,GK,0.04,0.08,0.1,0.11,0.13,0.12,0.58,4.5,0.13
477,Winks,Tottenham,M,0.15,0.08,0.09,0.08,0.08,0.09,0.56,4.5,0.12
478,Djilobodji,Chelsea,D,0.06,0.09,0.11,0.08,0.12,0.1,0.56,4.9,0.11
479,Cargill,Bournemouth,D,0.08,0.12,0.08,0.1,0.06,0.08,0.53,4,0.13
480,Pienaar,Everton,M,0,0.07,0.1,0.1,0.12,0.12,0.53,4.8,0.11
481,Traore,Chelsea,M,0.08,0.08,0.08,0.07,0.08,0.08,0.48,5.5,0.09
482,Jose Enrique,Liverpool,D,0.06,0.08,0.05,0.09,0.08,0.1,0.46,4.3,0.11
483,Haugaard,Stoke,GK,0.04,0.07,0.08,0.09,0.09,0.09,0.46,4.4,0.1
484,Varela,Man Utd,D,0.06,0.08,0.08,0.07,0.09,0.08,0.45,4.2,0.11
485,Roberts,Man City,M,0.09,0.07,0.07,0.07,0.07,0.07,0.45,4.3,0.1
486,Armstrong,Newcastle,F,0,0.08,0.09,0.09,0.09,0.09,0.44,4.4,0.1
487,Samuelsen,West Ham,M,0.12,0.08,0.06,0.06,0.05,0.05,0.41,4.4,0.09
488,Hammond,Leicester,M,0,0.07,0.07,0.08,0.08,0.08,0.38,4.3,0.09
489,Odjidja-Ofoe,Norwich,M,0,0.07,0.07,0.07,0.08,0.08,0.37,4.9,0.07
490,Ekstrand,Watford,D,0,0.04,0.06,0.07,0.1,0.1,0.37,4,0.09
491,Hibbert,Everton,D,0.1,0.04,0.06,0.05,0.06,0.06,0.36,3.9,0.09
492,Gilmartin,Watford,GK,0.04,0.05,0.06,0.06,0.07,0.07,0.35,4,0.09
493,Kinsella,Aston Villa,D,0.04,0.05,0.05,0.08,0.05,0.05,0.33,3.9,0.08
494,Zelalem,Arsenal,M,0,0.07,0.06,0.06,0.06,0.06,0.31,4.8,0.07
495,Buckley,Sunderland,M,0,0.06,0.06,0.07,0.06,0.07,0.31,4.7,0.07
